Date,Open,High,Low,Close,Adj Close,Volume,Change
1-Jan-06,13.12,14.72,13.02,14.69,10.72,"8,923,138",0.861736334
1-Dec-05,12.12,13.42,11.24,13.27,9.68,"9,606,553",0.902985075
1-Nov-05,12.84,13.2,11.78,12.13,8.85,"5,949,915",0.914256198
1-Oct-05,12.22,13.79,11.83,12.79,9.33,"11,499,654",1.054237288
1-Sep-05,10.89,12.66,10.83,12.19,8.89,"17,804,502",0.9528403
1-Aug-05,10.17,10.99,10.01,10.89,7.94,"12,636,730",0.893138358
1-Jul-05,9.98,10.65,9.53,10.34,7.55,"10,846,976",0.950881612
1-Jun-05,10.85,11.6,9.47,10.07,7.34,"19,689,787",0.97218543
1-May-05,11.85,12.07,10.41,10.85,7.92,"12,957,113",1.079019074
29-Apr-05,0.30 Dividend,,,,,,
1-Apr-05,9.2,12.64,9.2,11.75,8.37,"24,759,212",1.056818182
1-Mar-05,8.03,9.78,7.79,9.24,6.58,"15,010,709",0.78614098
1-Feb-05,7.6,8.22,7.5,8.03,5.72,"3,666,090",0.869300912
1-Jan-05,7.51,7.86,7.16,7.62,5.42,"3,098,350",0.947552448
1-Dec-04,7.98,8.08,7.28,7.57,5.39,"5,922,242",0.994464945
1-Nov-04,7.69,8.25,7.4,7.98,5.68,"11,736,886",1.05380334
1-Oct-04,7.68,7.78,6.92,7.62,5.43,"9,444,767",0.955985915
1-Sep-04,6.66,7.73,6.18,7.56,5.38,"10,373,470",0.990791897
1-Aug-04,7.08,7.08,6.51,6.66,4.74,"5,338,791",0.881040892
1-Jul-04,6.11,7.24,5.98,7.02,5,"10,560,224",1.054852321
11-Jun-04,0.06 Dividend,,,,,,
1-Jun-04,6.71,6.85,5.85,5.96,4.21,"8,273,876",0.842
11-Jun-04,13:10 Stock Splits,,,,,,
1-May-04,6.65,6.92,6.17,6.68,4.71,"7,833,318",1.118764846
1-Apr-04,6.19,6.85,6.19,6.77,4.78,"16,705,965",1.014861996
1-Mar-04,5.83,6.3,5.68,6.18,4.36,"10,514,427",0.912133891
1-Feb-04,5.55,6.21,5.42,5.83,4.11,"13,637,401",0.94266055
1-Jan-04,5.17,5.92,5.08,5.49,3.87,"10,935,022",0.941605839
1-Dec-03,4.99,5.23,4.56,5.14,3.63,"8,691,308",0.937984496
1-Nov-03,4.73,5.23,4.64,4.99,3.52,"13,354,698",0.96969697
1-Oct-03,4.27,4.73,4.19,4.73,3.33,"4,488,296",0.946022727
1-Sep-03,4.8,4.8,4.21,4.31,3.04,"3,427,202",0.912912913
1-Aug-03,4.71,4.77,4.42,4.61,3.25,"3,999,413",1.069078947
1-Jul-03,5.18,5.23,4.6,4.71,3.32,"11,648,234",1.021538462
6-Jun-03,0.08 Dividend,,,,,,
1-Jun-03,5.76,5.78,5.15,5.17,3.6,"7,360,258",1.084337349
6-Jun-03,12:10 Stock Splits,,,,,,
1-May-03,5.77,5.77,5.19,5.7,3.96,"12,457,006",1.1
1-Apr-03,5.47,5.79,5.27,5.49,3.82,"14,530,712",0.964646465
1-Mar-03,5.47,5.74,5.23,5.41,3.77,"9,424,718",0.986910995
1-Feb-03,5.49,5.79,5.31,5.49,3.82,"4,841,781",1.013262599
1-Jan-03,5.58,5.63,4.94,5.42,3.77,"9,277,175",0.986910995
1-Dec-02,5.69,5.7,5.08,5.49,3.82,"4,222,943",1.013262599
1-Nov-02,6.14,6.35,5.31,5.68,3.95,"2,808,555",1.034031414
1-Oct-02,6.63,6.71,5.96,6.07,4.22,"1,424,633",1.06835443
1-Sep-02,6.9,6.97,6.57,6.63,4.61,"2,068,132",1.092417062
1-Aug-02,6.88,7.16,6.75,6.93,4.82,"2,475,969",1.045553145
1-Jul-02,7.25,7.28,6.79,6.89,4.79,"3,212,655",0.993775934
17-Jun-02,0.09 Dividend,,,,,,
1-Jun-02,6.95,7.64,6.59,7.24,4.97,"9,800,838",1.037578288
1-May-02,7.12,7.39,6.58,6.94,4.76,"3,099,368",0.957746479
1-Apr-02,6.95,7.19,6.68,7.16,4.91,"7,431,535",1.031512605
1-Mar-02,6.73,7.2,6.53,6.94,4.76,"9,546,567",0.969450102
1-Feb-02,6.52,7.02,6.41,6.73,4.62,"3,717,645",0.970588235
1-Jan-02,7.05,7.07,5.77,6.52,4.47,"8,654,329",0.967532468
1-Dec-01,7.01,7.26,6.52,7,4.8,"7,942,236",1.073825503
